participant_id,agent_type,group,modality,voice,distance,word
0,0,0,0,0,1.741528,Rabbit
0,0,0,2,0,2.313717,Rabbit
0,0,0,1,0,2.162272,Rabbit
0,0,0,1,0,2.00211,Dream
0,0,0,0,1,2.999914, TOO_NEAR
0,0,0,0,1,2.999408, TOO_NEAR
0,0,0,0,1,2.997116, TOO_NEAR
0,0,0,0,1,2.999797, TOO_NEAR
0,0,0,0,1,2.999944, TOO_NEAR
0,0,0,0,1,3.667504,Hotel
0,0,0,1,1,2.992118, TOO_NEAR
0,0,0,1,1,3.415169,Calculator
0,0,0,1,1,2.997813, TOO_NEAR
0,0,0,1,1,2.791647,Football
0,0,0,2,1,2.999558, TOO_NEAR
0,0,0,2,1,2.976643,Vegas
0,0,0,2,1,2.995064, TOO_NEAR
0,0,0,2,1,3.770815,Calculator
0,1,1,0,0,3.836595,Icecream
0,1,1,2,0,2.853778,Holiday
0,1,1,1,0,2.907185,Brains
0,1,1,1,0,2.708824,Rabbit
0,1,1,0,1,2.992651, TOO_NEAR
0,1,1,0,1,2.77057,Pizza
0,1,1,1,1,3.23033,Holiday
0,1,1,1,1,3.14345,Hotel
0,1,1,1,1,2.999706, TOO_NEAR
0,1,1,2,1,3.092672,Calculator
0,1,1,2,1,2.998952, TOO_NEAR
0,1,1,2,1,2.952696,Android
1,0,0,0,0,1.223713,Seaside
1,0,0,1,0,1.102413,Pizza
1,0,0,1,0,0.9660906,Aquarium
1,0,0,2,0,0.8537182,Android
1,0,0,0,1,2.992939, TOO_NEAR
1,0,0,0,1,3.505939,Garlic
1,0,0,2,1,2.997355, TOO_NEAR
1,0,0,2,1,3.286982,Brains
1,0,0,1,1,2.994987, TOO_NEAR
1,0,0,1,1,3.521713,Zombie
1,1,1,2,0,3.48283,Vegas
1,1,1,1,0,1.191872,Garlic
1,1,1,1,0,1.406368,Pizza
1,1,1,0,1,2.999904, TOO_NEAR
1,1,1,0,1,4.014062,Football
1,1,1,2,1,3.422838,Aquarium
1,1,1,1,1,3.267297,Orchestra
1,1,1,1,1,3.343735,Football
2,0,0,0,0,1.623305,Seaside
2,0,0,2,0,1.510699,Holiday
2,0,0,2,0,1.816206,Aquarium
2,0,0,1,0,1.571083,Brains
2,0,0,1,0,1.538621,Android
2,0,0,0,1,1.476489,Tent
2,0,0,0,1,2.997602, TOO_NEAR
2,0,0,0,1,2.999076, TOO_NEAR
2,0,0,1,1,3.613554,Hotel
2,0,0,1,1,2.999699, TOO_NEAR
2,0,0,1,1,3.697972,Clown
2,0,0,2,1,3.550447,Rabbit
2,0,0,2,1,3.948387,Tent
2,1,1,0,0,3.399847,Pizza
2,1,1,1,0,3.010422,Icecream
2,1,1,1,0,3.243413,Orchestra
2,1,1,2,0,3.360641,Calculator
2,1,1,2,0,3.314456,Jetpack
2,1,1,0,1,3.366095,Garlic
2,1,1,2,1,3.394689,Zombie
2,1,1,2,1,3.405847,Tent
2,1,1,1,1,3.435636,Pizza
2,1,1,1,1,3.45663,Calculator
3,1,0,0,0,1.055971,Android
3,1,0,1,0,0.9094993,Aquarium
3,1,0,1,0,0.7137533,Icecream
3,1,0,2,0,0.7482153,Garlic
3,1,0,2,0,0.6648829,Brains
3,1,0,0,1,0.6904207,Tent
3,1,0,2,1,1.122203,Icecream
3,1,0,2,1,0.7873806,Clown
3,1,0,1,1,1.059715,Hotel
3,1,0,1,1,0.8532833,Icecream
3,0,1,0,0,1.14219,Zombie
3,0,1,1,0,1.109673,Tent
3,0,1,1,0,1.062404,Football
3,0,1,2,0,0.9944952,Hotel
3,0,1,2,0,1.257802,Calculator
3,0,1,0,1,2.552034, TOO_NEAR
3,0,1,0,1,1.258329,Zombie
3,0,1,2,1,1.186505,Aquarium
3,0,1,2,1,0.9191629,Pizza
3,0,1,1,1,1.053099,Orchestra
3,0,1,1,1,0.9805238,Icecream
4,1,0,0,0,1.272095,Seaside
4,1,0,2,0,1.436729,Orchestra
4,1,0,2,0,1.458585,Tent
4,1,0,1,0,1.590118,Android
4,1,0,1,0,1.717185,Aquarium
4,1,0,0,1,2.993638, TOO_NEAR
4,1,0,0,1,2.880932,Football
4,1,0,1,1,2.997942, TOO_NEAR
4,1,0,1,1,2.152007,Zombie
4,1,0,1,1,2.997606, TOO_NEAR
4,1,0,1,1,2.256231,Rabbit
4,1,0,2,1,2.997888, TOO_NEAR
4,1,0,2,1,2.345989,Orchestra
4,1,0,2,1,2.998188, TOO_NEAR
4,1,0,2,1,2.53403,Rabbit
4,0,1,0,0,1.502848,Zombie
4,0,1,2,0,1.650096,Jetpack
4,0,1,2,0,1.262814,Icecream
4,0,1,1,0,1.397117,Calculator
4,0,1,1,0,1.624139,Tent
4,0,1,0,1,2.995634, TOO_NEAR
4,0,1,0,1,2.628959,Pizza
4,0,1,0,1,2.999125, TOO_NEAR
4,0,1,2,1,2.993956, TOO_NEAR
4,0,1,2,1,2.496688,Hotel
4,0,1,2,1,2.999988, TOO_NEAR
4,0,1,2,1,2.512426,Holiday
4,0,1,1,1,2.999519, TOO_NEAR
4,0,1,1,1,2.44486,Vegas
4,0,1,1,1,2.997189, TOO_NEAR
4,0,1,1,1,2.166644,Vegas
5,0,0,0,0,1.514171,Garlic
5,0,0,2,0,1.233978,Dream
5,0,0,2,0,1.213998,Pizza
5,0,0,1,0,1.105387,Football
5,0,0,1,0,1.087401,Android
5,0,0,0,1,2.985662, TOO_NEAR
5,0,0,0,1,1.287295,Dream
5,0,0,1,1,2.999115, TOO_NEAR
5,0,0,1,1,2.220619,Rabbit
5,0,0,1,1,2.996323, TOO_NEAR
5,0,0,1,1,2.862686,Dream
5,0,0,2,1,2.997868, TOO_NEAR
5,0,0,2,1,2.999619, TOO_NEAR
5,0,0,2,1,2.990089,Seaside
5,0,0,2,1,2.995069, TOO_NEAR
5,0,0,2,1,2.993996, TOO_NEAR
5,0,0,2,1,3.169865,Rabbit
5,1,1,0,0,1.311441,Holiday
5,1,1,1,0,1.09734,Holiday
5,1,1,1,0,1.045496,Icecream
5,1,1,2,0,1.142832,Vegas
5,1,1,2,0,0.9392954,Rabbit
5,1,1,0,1,2.994127, TOO_NEAR
5,1,1,0,1,2.998966, TOO_NEAR
5,1,1,0,1,3.396314,Hotel
5,1,1,2,1,2.996127, TOO_NEAR
5,1,1,2,1,3.232386,Jetpack
5,1,1,2,1,2.994705, TOO_NEAR
5,1,1,2,1,3.123269,Football
5,1,1,1,1,2.995964, TOO_NEAR
5,1,1,1,1,3.074456,Icecream
5,1,1,1,1,2.998522, TOO_NEAR
5,1,1,1,1,3.145923,Dream
6,1,0,0,0,1.493332,Vegas
6,1,0,2,0,1.145673,Android
6,1,0,2,0,1.234753,Seaside
6,1,0,1,0,1.032861,Garlic
6,1,0,1,0,1.058096,Zombie
6,1,0,0,1,2.997071, TOO_NEAR
6,1,0,0,1,2.998919, TOO_NEAR
6,1,0,0,1,3.145072,Clown
6,1,0,2,1,2.995873, TOO_NEAR
6,1,0,2,1,3.157667,Hotel
6,1,0,2,1,3.194067,Calculator
6,1,0,1,1,2.999477, TOO_NEAR
6,1,0,1,1,3.14798,Jetpack
6,1,0,1,1,2.617225, TOO_NEAR
6,1,0,1,1,2.985984, TOO_NEAR
6,1,0,1,1,2.998623, TOO_NEAR
6,1,0,1,1,3.125517,Zombie
6,1,0,1,1,2.999058, TOO_NEAR
6,1,0,1,1,2.999541, TOO_NEAR
6,1,0,1,1,2.997931, TOO_NEAR
6,0,1,0,0,1.100176,Calculator
6,0,1,2,0,1.319453,Brains
6,0,1,2,0,1.318144,Seaside
6,0,1,1,0,1.114474,Hotel
6,0,1,1,0,1.150777,Jetpack
6,0,1,0,1,2.991408, TOO_NEAR
6,0,1,0,1,3.238624,Aquarium
6,0,1,0,1,2.931051, TOO_NEAR
6,0,1,1,1,2.998536, TOO_NEAR
6,0,1,1,1,3.214503,Aquarium
6,0,1,1,1,2.983024, TOO_NEAR
6,0,1,1,1,2.996182, TOO_NEAR
6,0,1,1,1,3.216765,Android
6,0,1,2,1,2.999646, TOO_NEAR
6,0,1,2,1,3.246169,Jetpack
6,0,1,2,1,2.991436, TOO_NEAR
6,0,1,2,1,3.221129,Garlic
6,0,1,2,1,2.994319, TOO_NEAR
7,0,0,0,0,1.466035,Orchestra
7,0,0,1,0,1.188344,Zombie
7,0,0,1,0,1.455378,Hotel
7,0,0,2,0,1.523002,Android
7,0,0,2,0,1.331605,Android
7,0,0,0,1,2.999496, TOO_NEAR
7,0,0,0,1,2.583636,Holiday
7,0,0,1,1,2.992499, TOO_NEAR
7,0,0,1,1,2.604967,Jetpack
7,0,0,1,1,3.043344,Garlic
7,0,0,2,1,2.999427, TOO_NEAR
7,0,0,2,1,2.526328,Brains
7,0,0,2,1,2.998948, TOO_NEAR
7,0,0,2,1,2.543147,Holiday
7,1,1,0,0,2.351987,Zombie
7,1,1,2,0,2.33898,Tent
7,1,1,2,0,3.04865,Tent
7,1,1,1,0,3.199819,Brains
7,1,1,1,0,3.263517,Android
7,1,1,0,1,3.017923,Rabbit
7,1,1,0,1,2.999465, TOO_NEAR
7,1,1,0,1,2.999459, TOO_NEAR
7,1,1,2,1,3.214676,Dream
7,1,1,2,1,3.014226,Zombie
7,1,1,2,1,2.999929, TOO_NEAR
7,1,1,1,1,3.564149,Hotel
7,1,1,1,1,2.998446, TOO_NEAR
7,1,1,1,1,3.296837,Seaside
8,0,0,0,0,2.616618,Seaside
8,0,0,2,0,1.158215,Pizza
8,0,0,2,0,1.236385,Icecream
8,0,0,1,0,1.320591,Icecream
8,0,0,1,0,1.353707,Dream
8,0,0,0,1,1.530161,Aquarium
8,0,0,2,1,1.543423,Icecream
8,0,0,2,1,1.532819,Football
8,0,0,1,1,1.437084,Clown
8,0,0,1,1,1.459482,Icecream
8,1,1,0,0,1.315091,Seaside
8,1,1,2,0,1.259155,Icecream
8,1,1,2,0,1.458821,Pizza
8,1,1,1,0,1.415666,Jetpack
8,1,1,1,0,1.275507,Pizza
8,1,1,0,1,1.282802,Calculator
8,1,1,2,1,1.265159,Football
8,1,1,2,1,1.255599,Orchestra
8,1,1,1,1,0.8695927,Zombie
8,1,1,1,1,2.214791, TOO_NEAR
8,1,1,1,1,1.523836,Orchestra
9,0,0,0,0,1.538659,Clown
9,0,0,2,0,1.184751,Tent
9,0,0,2,0,1.051115,Holiday
9,0,0,1,0,1.292337,Seaside
9,0,0,1,0,1.20974,Dream
9,0,0,0,1,1.08336,Dream
9,0,0,0,1,2.998368, TOO_NEAR
9,0,0,0,1,2.935771, TOO_NEAR
9,0,0,2,1,1.38726,Orchestra
9,0,0,2,1,1.227958,Zombie
9,0,0,1,1,1.4238,Vegas
9,0,0,1,1,1.282828,Calculator
9,0,0,1,1,2.990503, TOO_NEAR
9,1,1,0,0,1.503321,Football
9,1,1,1,0,1.359091,Rabbit
9,1,1,1,0,1.550531,Rabbit
9,1,1,2,0,1.458272,Rabbit
9,1,1,2,0,1.391624,Jetpack
9,1,1,0,1,1.396221,Football
9,1,1,2,1,1.452786,Orchestra
9,1,1,2,1,1.203862,Garlic
9,1,1,1,1,1.272741,Holiday
9,1,1,1,1,1.303898,Zombie
9,1,1,1,1,2.999951, TOO_NEAR
9,1,1,1,1,2.999446, TOO_NEAR
9,1,1,1,1,2.99921, TOO_NEAR
10,1,0,0,0,1.068061,Android
10,1,0,1,0,1.163816,Orchestra
10,1,0,1,0,1.135156,Hotel
10,1,0,2,0,1.341376,Holiday
10,1,0,2,0,1.380041,Football
10,1,0,0,1,2.989488, TOO_NEAR
10,1,0,0,1,2.877893,Football
10,1,0,1,1,2.995472, TOO_NEAR
10,1,0,1,1,3.109406,Rabbit
10,1,0,1,1,2.997773, TOO_NEAR
10,1,0,1,1,2.848399,Android
10,1,0,2,1,2.999552, TOO_NEAR
10,1,0,2,1,3.380109,Seaside
10,1,0,2,1,2.999691, TOO_NEAR
10,1,0,2,1,2.995769, TOO_NEAR
10,1,0,2,1,4.009531,Seaside
10,0,1,0,0,2.297828,Android
10,0,1,2,0,2.430176,Rabbit
10,0,1,2,0,2.183954,Garlic
10,0,1,1,0,1.917413,Vegas
10,0,1,1,0,1.897136,Aquarium
10,0,1,0,1,2.992335, TOO_NEAR
10,0,1,0,1,3.155269,Tent
10,0,1,1,1,2.996189, TOO_NEAR
10,0,1,1,1,3.275993,Holiday
10,0,1,1,1,2.991651, TOO_NEAR
10,0,1,1,1,3.276086,Tent
10,0,1,2,1,2.996232, TOO_NEAR
10,0,1,2,1,3.514045,Orchestra
10,0,1,2,1,3.1384,Orchestra
11,0,0,0,0,1.687645,Brains
11,0,0,1,0,1.502414,Orchestra
11,0,0,1,0,1.568335,Orchestra
11,0,0,2,0,1.56782,Football
11,0,0,2,0,1.586964,Football
11,0,0,0,1,2.990964, TOO_NEAR
11,0,0,0,1,2.833839,Aquarium
11,0,0,1,1,2.992232, TOO_NEAR
11,0,0,1,1,3.051701,Holiday
11,0,0,1,1,2.994125, TOO_NEAR
11,0,0,1,1,3.199615,Clown
11,0,0,1,1,2.943033, TOO_NEAR
11,0,0,2,1,2.995364, TOO_NEAR
11,0,0,2,1,3.126138,Jetpack
11,0,0,2,1,2.999056, TOO_NEAR
11,0,0,2,1,3.367444,Dream
11,1,1,0,0,1.38686,Orchestra
11,1,1,2,0,3.307821,Android
11,1,1,2,0,3.401033,Calculator
11,1,1,1,0,3.278237,Clown
11,1,1,1,0,3.263009,Jetpack
11,1,1,0,1,2.995298, TOO_NEAR
11,1,1,0,1,3.455701,Android
11,1,1,2,1,3.476948,Aquarium
11,1,1,2,1,3.400972,Brains
11,1,1,1,1,2.999297, TOO_NEAR
11,1,1,1,1,3.462287,Tent
11,1,1,1,1,2.997997, TOO_NEAR
11,1,1,1,1,3.290053,Brains
12,0,0,0,0,1.49729,Icecream
12,0,0,2,0,1.323021,Rabbit
12,0,0,2,0,1.338132,Garlic
12,0,0,1,0,1.320688,Zombie
12,0,0,1,0,1.381507,Tent
12,0,0,0,1,2.991293, TOO_NEAR
12,0,0,0,1,2.236846,Android
12,0,0,2,1,2.993304, TOO_NEAR
12,0,0,2,1,2.368193,Holiday
12,0,0,2,1,2.995145, TOO_NEAR
12,0,0,2,1,2.577347,Rabbit
12,0,0,1,1,2.997576, TOO_NEAR
12,0,0,1,1,2.57368,Android
12,0,0,1,1,2.99942, TOO_NEAR
12,0,0,1,1,2.829992,Seaside
12,1,1,0,0,2.270189,Zombie
12,1,1,1,0,2.46814,Dream
12,1,1,1,0,2.214682,Rabbit
12,1,1,2,0,2.110478,Zombie
12,1,1,2,0,2.02189,Clown
12,1,1,0,1,2.99762, TOO_NEAR
12,1,1,0,1,2.808118,Zombie
12,1,1,1,1,2.997979, TOO_NEAR
